Date,Open,High,Low,Close*,Adj Close**,Volume
2/1/19,2702,2813,2682,2784,2784,70183430000
1/1/19,2477,2709,2444,2704,2704,80401630000
12/1/18,2791,2800,2347,2507,2507,83522570000
11/1/18,2718,2815,2631,2760,2760,80080110000
10/1/18,2926,2940,2604,2712,2712,91327930000
9/1/18,2897,2941,2864,2914,2914,62492080000
8/1/18,2821,2917,2796,2902,2902,69238220000
7/1/18,2705,2848,2699,2816,2816,64542170000
6/1/18,2719,2791,2692,2718,2718,77439710000
5/1/18,2643,2742,2595,2705,2705,75617280000
4/1/18,2633,2717,2554,2648,2648,69648590000
3/1/18,2715,2802,2586,2641,2641,76369800000
2/1/18,2816,2836,2533,2714,2714,79579410000
1/1/18,2684,2873,2682,2824,2824,76860120000
12/1/17,2645,2695,2606,2674,2674,65251190000
11/1/17,2583,2658,2557,2648,2648,73173260000
10/1/17,2521,2583,2520,2575,2575,70871570000
9/1/17,2474,2519,2447,2519,2519,66337980000
8/1/17,2477,2491,2417,2472,2472,70616030000
7/1/17,2431,2484,2408,2470,2470,63169400000
6/1/17,2416,2454,2406,2423,2423,81002490000
5/1/17,2389,2419,2353,2412,2412,79607170000
4/1/17,2362,2398,2329,2384,2384,65265670000
3/1/17,2380,2401,2322,2363,2363,81547770000
2/1/17,2286,2372,2272,2364,2364,69162420000
1/1/17,2252,2301,2245,2279,2279,70483180000
12/1/16,2200,2278,2187,2239,2239,75251240000
11/1/16,2129,2214,2084,2199,2199,88299760000
10/1/16,2164,2170,2115,2126,2126,73196630000
9/1/16,2171,2188,2119,2168,2168,77270240000
8/1/16,2173,2194,2148,2171,2171,75610310000
7/1/16,2099,2177,2074,2174,2174,69530250000
6/1/16,2094,2121,1992,2099,2099,86852700000
5/1/16,2067,2103,2026,2097,2097,78883600000
4/1/16,2057,2111,2034,2065,2065,81124990000
3/1/16,1937,2072,1937,2060,2060,92639420000
2/1/16,1937,1963,1810,1932,1932,93049560000
1/1/16,2038,2038,1812,1940,1940,92409770000
12/1/15,2083,2104,1993,2044,2044,83649260000
11/1/15,2081,2116,2019,2080,2080,75943590000
10/1/15,1920,2094,1894,2079,2079,85844900000
9/1/15,1970,2021,1872,1920,1920,79989370000
8/1/15,2104,2113,1867,1972,1972,84626790000
7/1/15,2067,2133,2044,2104,2104,77920590000
6/1/15,2109,2130,2056,2063,2063,73213980000
5/1/15,2087,2135,2068,2107,2107,65187730000
4/1/15,2068,2126,2048,2086,2086,72060940000
3/1/15,2105,2118,2040,2068,2068,76675850000
2/1/15,1997,2120,1981,2105,2105,68775560000
1/1/15,2059,2072,1988,1995,1995,77330040000
12/1/14,2066,2094,1973,2059,2059,80743820000
11/1/14,2018,2076,2001,2068,2068,63600190000
10/1/14,1971,2018,1821,2018,2018,93714040000
9/1/14,2004,2019,1964,1972,1972,66706000000
8/1/14,1930,2005,1905,2003,2003,58131140000
7/1/14,1962,1991,1931,1931,1931,66524690000
6/1/14,1924,1968,1916,1960,1960,63283380000
5/1/14,1884,1924,1860,1924,1924,63623630000
4/1/14,1874,1897,1814,1884,1884,71595810000
3/1/14,1858,1884,1834,1872,1872,71885030000
2/1/14,1783,1868,1738,1859,1859,69725590000
1/1/14,1846,1851,1770,1783,1783,75871910000
12/1/13,1807,1849,1768,1848,1848,64958820000
11/1/13,1759,1814,1746,1806,1806,63628190000
10/1/13,1682,1775,1646,1757,1757,76647400000
9/1/13,1636,1730,1633,1682,1682,66174410000
8/1/13,1689,1710,1627,1633,1633,64802810000
7/1/13,1610,1699,1605,1686,1686,68106820000
6/1/13,1632,1654,1560,1606,1606,74946790000
5/1/13,1598,1687,1581,1631,1631,76447250000
4/1/13,1569,1598,1536,1598,1598,77098000000
3/1/13,1515,1570,1501,1569,1569,68527110000
2/1/13,1498,1531,1485,1515,1515,69273480000
1/1/13,1426,1510,1426,1498,1498,75848510000
12/1/12,1416,1448,1398,1426,1426,66388180000
11/1/12,1412,1434,1343,1416,1416,71489310000
10/1/12,1441,1471,1403,1412,1412,71752320000
9/1/12,1407,1475,1397,1441,1441,69784280000
8/1/12,1379,1427,1355,1407,1407,70283810000
7/1/12,1362,1392,1325,1379,1379,73103810000
6/1/12,1310,1363,1267,1362,1362,81582440000
5/1/12,1398,1415,1292,1310,1310,86920490000
4/1/12,1408,1422,1357,1398,1398,74761710000
3/1/12,1366,1419,1340,1408,1408,83899660000
2/1/12,1312,1378,1312,1366,1366,78385710000
1/1/12,1259,1333,1259,1312,1312,79567560000
12/1/11,1247,1269,1202,1258,1258,74742430000
11/1/11,1251,1278,1159,1247,1247,84275050000
10/1/11,1131,1293,1075,1253,1253,98063670000
9/1/11,1219,1229,1114,1131,1131,102786820000
8/1/11,1293,1307,1102,1219,1219,108419170000
7/1/11,1321,1356,1283,1292,1292,81102170000
6/1/11,1345,1345,1258,1321,1321,86122730000
5/1/11,1365,1371,1312,1345,1345,81708980000
4/1/11,1329,1365,1295,1364,1364,77364810000
3/1/11,1329,1332,1249,1326,1326,89507640000
2/1/11,1289,1344,1289,1327,1327,59223660000
1/1/11,1258,1303,1258,1286,1286,92164940000
12/1/10,1187,1263,1187,1258,1258,80984530000
11/1/10,1186,1227,1173,1181,1181,87151070000
10/1/10,1143,1196,1132,1183,1183,89536270000
9/1/10,1050,1157,1050,1141,1141,79589450000
8/1/10,1108,1129,1040,1049,1049,85738250000
7/1/10,1031,1121,1011,1102,1102,94778110000
6/1/10,1087,1131,1028,1031,1031,110106750000
5/1/10,1189,1205,1041,1089,1089,127662780000
4/1/10,1171,1220,1171,1187,1187,116741910000
3/1/10,1105,1181,1105,1169,1169,103683550000
2/1/10,1074,1112,1045,1104,1104,84561340000
1/1/10,1117,1150,1072,1074,1074,90947580000
12/1/09,1099,1130,1086,1115,1115,89515330000
11/1/09,1036,1114,1029,1096,1096,84981530000
10/1/09,1055,1101,1020,1036,1036,113410990000
9/1/09,1020,1080,992,1057,1057,112295490000
8/1/09,990,1039,979,1021,1021,116059270000
7/1/09,921,997,869,987,987,106635790000
6/1/09,923,956,889,919,919,112653150000
5/1/09,873,930,866,919,919,131614940000
4/1/09,794,889,783,873,873,138855320000
3/1/09,730,833,667,798,798,161843640000
2/1/09,823,875,735,735,735,124492210000
1/1/09,903,944,804,826,826,112090640000
12/1/08,889,919,816,903,903,112884470000
11/1/08,969,1008,741,896,896,115660210000
10/1/08,1164,1167,840,969,969,159823030000
9/1/08,1288,1303,1106,1166,1166,140007320000
8/1/08,1269,1313,1247,1283,1283,86266010000
7/1/08,1277,1292,1200,1267,1267,124980570000
6/1/08,1400,1404,1272,1280,1280,96614040000
5/1/08,1386,1440,1373,1400,1400,80990480000
4/1/08,1326,1405,1324,1386,1386,85978630000
3/1/08,1330,1360,1257,1323,1323,93189170000
2/1/08,1379,1396,1317,1331,1331,78536130000
1/1/08,1468,1472,1270,1379,1379,98475340000
12/1/07,1480,1524,1436,1468,1468,64821670000
11/1/07,1546,1546,1406,1481,1481,86246950000
10/1/07,1527,1576,1490,1549,1549,76022580000
9/1/07,1474,1539,1439,1527,1527,57809700000
8/1/07,1455,1504,1371,1474,1474,91381760000
7/1/07,1505,1556,1454,1455,1455,70337430000
6/1/07,1531,1541,1484,1503,1503,65322800000
5/1/07,1482,1536,1477,1531,1531,64958050000
4/1/07,1421,1498,1416,1482,1482,57032470000
3/1/07,1407,1439,1364,1421,1421,67622250000
2/1/07,1438,1462,1389,1407,1407,51844990000
1/1/07,1418,1442,1404,1438,1438,56686200000
12/1/06,1401,1432,1386,1418,1418,47578780000
11/1/06,1378,1408,1361,1401,1401,55343930000
10/1/06,1336,1389,1327,1378,1378,56793620000
9/1/06,1304,1340,1291,1336,1336,49001440000
8/1/06,1279,1307,1261,1304,1304,50485620000
7/1/06,1270,1280,1225,1277,1277,46348220000
6/1/06,1270,1291,1219,1270,1270,54873260000
5/1/06,1311,1327,1245,1270,1270,54312830000
4/1/06,1303,1318,1281,1311,1311,43308430000
3/1/06,1281,1311,1268,1295,1295,50905040000
2/1/06,1280,1298,1254,1281,1281,42859940000
1/1/06,1248,1295,1246,1280,1280,49211650000
12/1/05,1249,1276,1247,1248,1248,41756130000
11/1/05,1207,1271,1201,1249,1249,45102870000
10/1/05,1229,1233,1168,1207,1207,49793790000
9/1/05,1220,1243,1205,1229,1229,44777510000
8/1/05,1234,1246,1201,1220,1220,42030090000
7/1/05,1191,1245,1184,1234,1234,37464670000
6/1/05,1192,1220,1188,1191,1191,40334040000
5/1/05,1157,1200,1146,1192,1192,39321990000
4/1/05,1181,1192,1136,1157,1157,43424270000
3/1/05,1204,1229,1164,1181,1181,39014150000
2/1/05,1181,1212,1181,1204,1204,29297410000
1/1/05,1212,1218,1164,1181,1181,31498800000
12/1/04,1174,1217,1174,1212,1212,31102500000
11/1/04,1130,1188,1128,1174,1174,30460280000
10/1/04,1115,1142,1090,1130,1130,31511000000
9/1/04,1104,1132,1099,1115,1115,26829870000
8/1/04,1102,1110,1061,1104,1104,26586800000
7/1/04,1141,1141,1079,1102,1102,29285600000
6/1/04,1121,1146,1113,1141,1141,27529500000
5/1/04,1107,1128,1076,1121,1121,29326400000
4/1/04,1126,1151,1107,1107,1107,31611900000
3/1/04,1145,1163,1087,1126,1126,33597900000
2/1/04,1131,1159,1124,1145,1145,27985600000
1/1/04,1112,1155,1105,1131,1131,32820000000
12/1/03,1058,1113,1053,1112,1112,27839130000
11/1/03,1051,1064,1031,1058,1058,24463220000
10/1/03,996,1054,996,1051,1051,32298500000
9/1/03,1008,1040,990,996,996,29940110000
8/1/03,990,1011,961,1008,1008,24881470000
7/1/03,975,1015,962,990,990,31553200000
6/1/03,964,1015,964,975,975,31219400000
5/1/03,917,965,903,964,964,30952100000
4/1/03,848,924,848,917,917,29669610000
3/1/03,841,896,789,848,848,30080030000
2/1/03,856,865,806,841,841,25235300000
1/1/03,880,935,840,856,856,30749580000
12/1/02,936,954,869,880,880,25993640000
11/1/02,886,942,872,936,936,29200960000
10/1/02,815,907,769,886,886,37856310000
9/1/02,916,924,800,815,815,27723710000
8/1/02,912,965,833,916,916,29298400000
7/1/02,990,994,776,912,912,42228720000
6/1/02,1067,1071,953,990,990,29981510000
5/1/02,1077,1107,1049,1067,1067,26905500000
4/1/02,1147,1148,1063,1077,1077,28568900000
3/1/02,1107,1174,1107,1147,1147,26563200000
